Dataset,feature_name,Threshold Method,OoD Val Fold,InD Val Fold,Fold,Shift,Shift Intensity,DR,Accuracy
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.025,jpeg,0.025,0.5208333333333334,0.84375
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.05,jpeg,0.05,0.5208333333333334,0.8333333333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.07500000000000001,jpeg,0.07500000000000001,0.53125,0.8333333333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.1,jpeg,0.1,0.5416666666666666,0.84375
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.125,jpeg,0.125,0.53125,0.8333333333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.15000000000000002,jpeg,0.15000000000000002,0.5208333333333334,0.8541666666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.17500000000000002,jpeg,0.17500000000000002,0.53125,0.84375
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.2,jpeg,0.2,0.5416666666666666,0.8333333333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.225,jpeg,0.225,0.5104166666666666,0.8229166666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.25,jpeg,0.25,0.53125,0.8541666666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.275,jpeg,0.275,0.5208333333333334,0.8333333333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.30000000000000004,jpeg,0.30000000000000004,0.5104166666666666,0.84375
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.325,jpeg,0.325,0.5208333333333334,0.8333333333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.35000000000000003,jpeg,0.35000000000000003,0.5208333333333334,0.8541666666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.375,jpeg,0.375,0.53125,0.8333333333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.4,jpeg,0.4,0.5104166666666666,0.8541666666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.42500000000000004,jpeg,0.42500000000000004,0.5208333333333334,0.84375
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.45,jpeg,0.45,0.53125,0.8333333333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.47500000000000003,jpeg,0.47500000000000003,0.5,0.8333333333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.5,jpeg,0.5,0.5208333333333334,0.8541666666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.025,hue,0.025,0.65625,0.84375
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.05,hue,0.05,0.7916666666666666,0.8541666666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.07500000000000001,hue,0.07500000000000001,0.875,0.8333333333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.1,hue,0.1,0.8958333333333334,0.7291666666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.125,hue,0.125,0.90625,0.6875
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.15000000000000002,hue,0.15000000000000002,0.9270833333333334,0.75
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.17500000000000002,hue,0.17500000000000002,0.9583333333333334,0.6666666666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.2,hue,0.2,0.9583333333333334,0.625
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.225,hue,0.225,0.96875,0.5520833333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.25,hue,0.25,0.9895833333333334,0.46875
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.275,hue,0.275,0.9895833333333334,0.4270833333333333
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.30000000000000004,hue,0.30000000000000004,1.0,0.3541666666666667
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.325,hue,0.325,1.0,0.2916666666666667
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.35000000000000003,hue,0.35000000000000003,1.0,0.2708333333333333
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.375,hue,0.375,1.0,0.2604166666666667
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.4,hue,0.4,1.0,0.2708333333333333
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.42500000000000004,hue,0.42500000000000004,1.0,0.28125
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.45,hue,0.45,1.0,0.3125
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.47500000000000003,hue,0.47500000000000003,1.0,0.3333333333333333
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.5,hue,0.5,1.0,0.34375
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,smear_0.025,smear,0.025,0.4791666666666667,0.8229166666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,smear_0.05,smear,0.05,0.4791666666666667,0.84375
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,smear_0.07500000000000001,smear,0.07500000000000001,0.53125,0.8541666666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,smear_0.1,smear,0.1,0.4791666666666667,0.8333333333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,smear_0.125,smear,0.125,0.5104166666666666,0.8125
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,smear_0.15000000000000002,smear,0.15000000000000002,0.53125,0.7708333333333334
