,fold,feature_name,feature,loss,acc,idx,class
0,hue_0.025,cross_entropy,1547.298828125,5.960463e-07,1.0,1041.0,40.0
1,hue_0.025,cross_entropy,2090.370849609375,-0.0,1.0,1235.0,9.0
2,hue_0.025,cross_entropy,1977.015869140625,1.072883e-06,1.0,195.0,26.0
3,hue_0.025,cross_entropy,2194.08349609375,-0.0,1.0,923.0,38.0
4,hue_0.025,cross_entropy,869.0703735351562,1.6689287e-06,1.0,1069.0,29.0
5,hue_0.025,cross_entropy,1883.103515625,-0.0,1.0,741.0,14.0
6,hue_0.025,cross_entropy,1685.0985107421875,-0.0,1.0,380.0,4.0
7,hue_0.025,cross_entropy,1915.58349609375,0.00029631038,1.0,1205.0,56.0
8,hue_0.025,cross_entropy,1405.09375,9.8700424e-05,1.0,79.0,13.0
9,hue_0.025,cross_entropy,1966.01904296875,0.00087318436,1.0,1215.0,14.0
10,hue_0.025,cross_entropy,1977.28662109375,7.510157e-06,1.0,1140.0,16.0
11,hue_0.025,cross_entropy,1525.5184326171875,-0.0,1.0,355.0,50.0
12,hue_0.025,cross_entropy,1385.064697265625,1.7285198e-05,1.0,1021.0,46.0
13,hue_0.025,cross_entropy,1677.8096923828125,0.28820786,1.0,1065.0,5.0
14,hue_0.025,cross_entropy,2347.5947265625,-0.0,1.0,566.0,58.0
15,hue_0.025,cross_entropy,1915.542724609375,-0.0,1.0,945.0,56.0
16,hue_0.025,cross_entropy,2532.6162109375,1.668916e-05,1.0,579.0,26.0
17,hue_0.025,cross_entropy,1756.6494140625,2.9921084e-05,1.0,184.0,57.0
18,hue_0.025,cross_entropy,1917.346923828125,-0.0,1.0,763.0,22.0
19,hue_0.025,cross_entropy,2155.066162109375,-0.0,1.0,386.0,13.0
20,hue_0.025,cross_entropy,1125.758544921875,3.81469e-06,1.0,1073.0,59.0
21,hue_0.025,cross_entropy,2296.912109375,7.259582e-05,1.0,913.0,23.0
22,hue_0.025,cross_entropy,1772.94970703125,7.4384446,0.0,144.0,52.0
23,hue_0.025,cross_entropy,1553.82373046875,0.00010108437,1.0,700.0,30.0
24,hue_0.025,cross_entropy,1876.9228515625,-0.0,1.0,650.0,30.0
25,hue_0.025,cross_entropy,2344.67626953125,16.70066,0.0,49.0,33.0
26,hue_0.025,cross_entropy,1802.405029296875,2.4795225e-05,1.0,886.0,1.0
27,hue_0.025,cross_entropy,1736.9676513671875,1.3113013e-06,1.0,1184.0,20.0
28,hue_0.025,cross_entropy,1121.47998046875,2.3841855e-07,1.0,508.0,6.0
29,hue_0.025,cross_entropy,1832.9404296875,8.999896e-05,1.0,732.0,30.0
