,fold,feature_name,feature,loss,acc,idx,class
0,hue_0.025,softmax,0.9999988079071045,5.960463e-07,1.0,1041.0,40.0
1,hue_0.025,softmax,0.9999637603759766,-0.0,1.0,1235.0,9.0
2,hue_0.025,softmax,0.9999997615814209,1.072883e-06,1.0,195.0,26.0
3,hue_0.025,softmax,0.9999998807907104,-0.0,1.0,923.0,38.0
4,hue_0.025,softmax,0.9886385798454285,1.6689287e-06,1.0,1069.0,29.0
5,hue_0.025,softmax,1.0,-0.0,1.0,741.0,14.0
6,hue_0.025,softmax,0.9999997615814209,-0.0,1.0,380.0,4.0
7,hue_0.025,softmax,1.0,0.00029631038,1.0,1205.0,56.0
8,hue_0.025,softmax,0.9999514818191528,9.8700424e-05,1.0,79.0,13.0
9,hue_0.025,softmax,0.9999988079071045,0.00087318436,1.0,1215.0,14.0
10,hue_0.025,softmax,0.9999997615814209,7.510157e-06,1.0,1140.0,16.0
11,hue_0.025,softmax,0.9999995231628418,-0.0,1.0,355.0,50.0
12,hue_0.025,softmax,0.9999926090240479,1.7285198e-05,1.0,1021.0,46.0
13,hue_0.025,softmax,0.9999979734420776,0.28820786,1.0,1065.0,5.0
14,hue_0.025,softmax,0.9999998807907104,-0.0,1.0,566.0,58.0
15,hue_0.025,softmax,1.0,-0.0,1.0,945.0,56.0
16,hue_0.025,softmax,1.0,1.668916e-05,1.0,579.0,26.0
17,hue_0.025,softmax,0.9998530149459839,2.9921084e-05,1.0,184.0,57.0
18,hue_0.025,softmax,0.9999970197677612,-0.0,1.0,763.0,22.0
19,hue_0.025,softmax,1.0,-0.0,1.0,386.0,13.0
20,hue_0.025,softmax,0.5717946887016296,3.81469e-06,1.0,1073.0,59.0
21,hue_0.025,softmax,1.0,7.259582e-05,1.0,913.0,23.0
22,hue_0.025,softmax,0.9999969005584717,7.4384446,0.0,144.0,52.0
23,hue_0.025,softmax,0.9999985694885254,0.00010108437,1.0,700.0,30.0
24,hue_0.025,softmax,0.9999992847442627,-0.0,1.0,650.0,30.0
25,hue_0.025,softmax,1.0,16.70066,0.0,49.0,33.0
26,hue_0.025,softmax,0.9999858140945435,2.4795225e-05,1.0,886.0,1.0
27,hue_0.025,softmax,0.9997156262397766,1.3113013e-06,1.0,1184.0,20.0
28,hue_0.025,softmax,0.9999393224716187,2.3841855e-07,1.0,508.0,6.0
29,hue_0.025,softmax,0.9999992847442627,8.999896e-05,1.0,732.0,30.0
30,hue_0.025,softmax,0.9999442100524902,1.1920928e-07,1.0,1024.0,19.0
31,hue_0.025,softmax,0.9999996423721313,1.3113013e-06,1.0,393.0,53.0
32,hue_0.025,softmax,1.0,-0.0,1.0,50.0,36.0
33,hue_0.025,softmax,0.9999998807907104,-0.0,1.0,835.0,57.0
34,hue_0.025,softmax,0.9968672394752502,7.3909487e-06,1.0,629.0,13.0
35,hue_0.025,softmax,0.9999998807907104,0.016854968,1.0,1158.0,54.0
36,hue_0.025,softmax,0.999127209186554,15.086519,0.0,200.0,41.0
37,hue_0.025,softmax,1.0,3.1232346e-05,1.0,1103.0,13.0
38,hue_0.025,softmax,0.9999996423721313,-0.0,1.0,1190.0,48.0
39,hue_0.025,softmax,0.9999833106994629,-0.0,1.0,1045.0,22.0
40,hue_0.025,softmax,0.9999902248382568,1.3113013e-06,1.0,345.0,37.0
41,hue_0.025,softmax,0.9998511075973511,7.4026226e-05,1.0,338.0,11.0
42,hue_0.025,softmax,0.9999980926513672,-0.0,1.0,640.0,39.0
43,hue_0.025,softmax,0.9999914169311523,8.940657e-06,1.0,1010.0,40.0
