,fold,feature_name,feature,loss,acc,idx,class
0,multnoise_0.025,grad_magnitude,377.8205261230469,0.117176846,1.0,710.0,36.0
1,multnoise_0.025,grad_magnitude,198.54727172851562,2.264974e-06,1.0,834.0,11.0
2,multnoise_0.025,grad_magnitude,177.99559020996094,0.13676788,1.0,961.0,39.0
3,multnoise_0.025,grad_magnitude,211.93408203125,4.5060096e-05,1.0,622.0,50.0
4,multnoise_0.025,grad_magnitude,133.57810974121094,9.927744,0.0,553.0,44.0
5,multnoise_0.025,grad_magnitude,214.12171936035156,1.1920928e-07,1.0,803.0,58.0
6,multnoise_0.025,grad_magnitude,252.55465698242188,0.19162154,1.0,277.0,29.0
7,multnoise_0.025,grad_magnitude,194.76968383789062,6.179268,0.0,4.0,58.0
8,multnoise_0.025,grad_magnitude,159.43138122558594,-0.0,1.0,385.0,54.0
9,multnoise_0.025,grad_magnitude,254.30108642578125,-0.0,1.0,885.0,37.0
10,multnoise_0.025,grad_magnitude,241.14393615722656,-0.0,1.0,577.0,53.0
11,multnoise_0.025,grad_magnitude,121.3154525756836,-0.0,1.0,216.0,58.0
12,multnoise_0.025,grad_magnitude,225.03199768066406,1.4305105e-06,1.0,660.0,1.0
13,multnoise_0.025,grad_magnitude,83.07575988769531,0.21971571,1.0,308.0,37.0
14,multnoise_0.025,grad_magnitude,322.5459289550781,13.87693,0.0,367.0,30.0
15,multnoise_0.025,grad_magnitude,388.84521484375,3.139997,0.0,632.0,59.0
16,multnoise_0.025,grad_magnitude,158.84815979003906,0.0016508773,1.0,586.0,28.0
17,multnoise_0.025,grad_magnitude,187.44874572753906,-0.0,1.0,623.0,49.0
18,multnoise_0.025,grad_magnitude,230.70361328125,-0.0,1.0,941.0,53.0
19,multnoise_0.025,grad_magnitude,244.4364013671875,0.036346585,1.0,499.0,3.0
20,multnoise_0.025,grad_magnitude,106.82235717773438,-0.0,1.0,777.0,56.0
21,multnoise_0.025,grad_magnitude,157.7764129638672,0.3023058,1.0,314.0,41.0
22,multnoise_0.025,grad_magnitude,303.0876770019531,0.00061671785,1.0,99.0,40.0
23,multnoise_0.025,grad_magnitude,176.2067413330078,0.00027926837,1.0,847.0,39.0
24,multnoise_0.025,grad_magnitude,283.785888671875,0.94780046,0.0,599.0,31.0
25,multnoise_0.025,grad_magnitude,367.9414978027344,0.76396793,1.0,285.0,39.0
26,multnoise_0.025,grad_magnitude,381.55419921875,3.4214385,0.0,750.0,12.0
27,multnoise_0.025,grad_magnitude,159.44557189941406,22.713356,0.0,528.0,13.0
28,multnoise_0.025,grad_magnitude,156.0554656982422,6.5564896e-06,1.0,92.0,25.0
29,multnoise_0.025,grad_magnitude,181.8120880126953,1.072883e-06,1.0,993.0,33.0
30,multnoise_0.025,grad_magnitude,234.4618682861328,3.4570635e-06,1.0,896.0,30.0
31,multnoise_0.025,grad_magnitude,81.84418487548828,7.2717403e-06,1.0,142.0,16.0
32,multnoise_0.025,grad_magnitude,127.4112319946289,1.4305105e-06,1.0,773.0,25.0
33,multnoise_0.025,grad_magnitude,106.31649780273438,0.01735946,1.0,1094.0,0.0
34,multnoise_0.025,grad_magnitude,109.03555297851562,0.0001710507,1.0,616.0,54.0
35,multnoise_0.025,grad_magnitude,213.5054473876953,7.0333235e-06,1.0,881.0,37.0
36,multnoise_0.025,grad_magnitude,191.5614776611328,7.345476,0.0,872.0,57.0
37,multnoise_0.025,grad_magnitude,171.48745727539062,0.9999126,1.0,1141.0,12.0
38,multnoise_0.025,grad_magnitude,99.26119995117188,0.10782644,1.0,1008.0,0.0
39,multnoise_0.025,grad_magnitude,123.5129165649414,7.5933436e-05,1.0,343.0,21.0
40,multnoise_0.025,grad_magnitude,200.55699157714844,8.115801,0.0,619.0,4.0
41,multnoise_0.025,grad_magnitude,117.0550765991211,2.622601e-06,1.0,49.0,46.0
42,multnoise_0.025,grad_magnitude,111.74369812011719,1.001353e-05,1.0,731.0,8.0
43,multnoise_0.025,grad_magnitude,190.54872131347656,1.2274703,0.0,453.0,16.0
44,multnoise_0.025,grad_magnitude,198.5219268798828,1.6212332e-05,1.0,494.0,15.0
45,multnoise_0.025,grad_magnitude,105.23896789550781,-0.0,1.0,242.0,52.0
46,multnoise_0.025,grad_magnitude,188.2666015625,0.42601728,1.0,214.0,46.0
47,multnoise_0.025,grad_magnitude,90.58503723144531,3.067718,0.0,730.0,34.0
48,multnoise_0.025,grad_magnitude,208.212646484375,2.130356,0.0,145.0,15.0
49,multnoise_0.025,grad_magnitude,157.1106719970703,0.04668494,1.0,455.0,27.0
50,multnoise_0.025,grad_magnitude,148.1418914794922,0.0065471907,1.0,96.0,49.0
51,multnoise_0.025,grad_magnitude,179.77622985839844,1.1920928e-07,1.0,386.0,26.0
52,multnoise_0.025,grad_magnitude,216.86346435546875,2.9682673e-05,1.0,585.0,37.0
53,multnoise_0.025,grad_magnitude,288.79254150390625,2.5510462e-05,1.0,114.0,40.0
54,multnoise_0.025,grad_magnitude,274.94451904296875,0.01636453,1.0,156.0,40.0
55,multnoise_0.025,grad_magnitude,78.50314331054688,7.2660804,0.0,996.0,48.0
56,multnoise_0.025,grad_magnitude,203.0807647705078,0.0003874743,1.0,775.0,26.0
57,multnoise_0.025,grad_magnitude,155.6642608642578,1.5497088e-05,1.0,980.0,36.0
58,multnoise_0.025,grad_magnitude,166.07797241210938,12.869107,0.0,826.0,3.0
