,fold,feature_name,feature,loss,acc,idx,class
0,hue_0.025,energy,5.566934585571289,4.128977,0.0,41.0,29.0
1,hue_0.025,energy,17.47893714904785,0.47047523,1.0,276.0,26.0
2,hue_0.025,energy,8.001723289489746,4.7683704e-07,1.0,234.0,25.0
3,hue_0.025,energy,11.713105201721191,0.17153189,1.0,60.0,27.0
4,hue_0.025,energy,5.0291852951049805,0.0006690171,1.0,122.0,23.0
5,hue_0.025,energy,12.145524024963379,2.384183e-06,1.0,273.0,14.0
6,hue_0.025,energy,8.196830749511719,5.0067774e-06,1.0,65.0,6.0
7,hue_0.025,energy,12.105406761169434,-0.0,1.0,181.0,1.0
8,hue_0.025,energy,14.999253273010254,9.392415,0.0,162.0,23.0
9,hue_0.025,energy,6.023111343383789,3.48965,0.0,54.0,29.0
10,hue_0.025,energy,8.229132652282715,0.0013721108,1.0,33.0,16.0
11,hue_0.025,energy,21.581035614013672,0.00068355084,1.0,0.0,28.0
12,hue_0.025,energy,9.656505584716797,1.1920928e-07,1.0,14.0,9.0
13,hue_0.025,energy,20.358991622924805,0.00028248611,1.0,192.0,16.0
14,hue_0.025,energy,8.018437385559082,0.003800908,1.0,188.0,16.0
15,hue_0.025,energy,16.254125595092773,3.3378044e-05,1.0,96.0,17.0
16,hue_0.025,energy,5.309808731079102,1.4740076,0.0,163.0,4.0
17,hue_0.025,energy,3.7013351917266846,9.5367386e-07,1.0,57.0,3.0
18,hue_0.025,energy,8.510560035705566,1.1920928e-07,1.0,116.0,17.0
19,hue_0.025,energy,12.239523887634277,1.1920928e-07,1.0,157.0,8.0
20,hue_0.025,energy,13.28541374206543,3.576278e-07,1.0,136.0,15.0
21,hue_0.025,energy,9.0404634475708,0.0039834213,1.0,167.0,19.0
22,hue_0.025,energy,20.140043258666992,0.037740353,1.0,40.0,12.0
23,hue_0.025,energy,8.540359497070312,0.088098,1.0,84.0,22.0
24,hue_0.025,energy,7.777989864349365,-0.0,1.0,90.0,7.0
25,hue_0.025,energy,11.126800537109375,2.1695856e-05,1.0,115.0,8.0
26,hue_0.025,energy,12.169598579406738,1.490105e-05,1.0,194.0,13.0
27,hue_0.025,energy,17.924903869628906,1.8954097e-05,1.0,202.0,28.0
28,hue_0.025,energy,9.976839065551758,4.088795e-05,1.0,112.0,12.0
29,hue_0.025,energy,25.817819595336914,-0.0,1.0,265.0,12.0
30,hue_0.025,energy,11.002985000610352,-0.0,1.0,114.0,9.0
31,hue_0.025,energy,1.8778269290924072,0.029795082,1.0,81.0,16.0
32,hue_0.025,energy,14.801016807556152,2.3841855e-07,1.0,185.0,21.0
33,hue_0.025,energy,15.976704597473145,0.07098189,1.0,66.0,22.0
34,hue_0.025,energy,18.715106964111328,2.3841855e-07,1.0,166.0,9.0
35,hue_0.025,energy,14.707438468933105,1.7523613e-05,1.0,20.0,6.0
36,hue_0.025,energy,8.930513381958008,11.502925,0.0,228.0,3.0
37,hue_0.025,energy,4.065287113189697,1.6198473,0.0,125.0,30.0
38,hue_0.025,energy,17.609722137451172,1.001353e-05,1.0,177.0,10.0
39,hue_0.025,energy,11.069113731384277,0.46519428,1.0,92.0,7.0
40,hue_0.025,energy,14.900116920471191,1.6093125e-05,1.0,182.0,9.0
41,hue_0.025,energy,16.720226287841797,0.18022788,1.0,118.0,30.0
42,hue_0.025,energy,18.322168350219727,0.00030882357,1.0,91.0,26.0
43,hue_0.025,energy,4.143777847290039,1.7642818e-05,1.0,102.0,25.0
44,hue_0.025,energy,10.265063285827637,-0.0,1.0,82.0,12.0
45,hue_0.025,energy,19.193937301635742,7.3083563,0.0,197.0,26.0
46,hue_0.025,energy,0.9277083873748779,13.651169,0.0,130.0,26.0
47,hue_0.025,energy,10.592082977294922,5.625314,0.0,53.0,16.0
48,hue_0.025,energy,9.57616138458252,0.03139927,1.0,129.0,19.0
49,hue_0.025,energy,16.042030334472656,0.0065344,1.0,214.0,0.0
50,hue_0.025,energy,12.111906051635742,1.5676169,0.0,23.0,17.0
51,hue_0.025,energy,18.316730499267578,3.576278e-07,1.0,169.0,5.0
52,hue_0.025,energy,10.591376304626465,0.00015829741,1.0,22.0,3.0
53,hue_0.025,energy,4.971925735473633,2.9801879e-05,1.0,149.0,19.0
54,hue_0.025,energy,15.966259956359863,1.0728779e-05,1.0,230.0,14.0
55,hue_0.025,energy,13.448823928833008,6.675698e-06,1.0,73.0,6.0
56,hue_0.025,energy,24.915054321289062,1.6689287e-06,1.0,62.0,29.0
57,hue_0.025,energy,17.282217025756836,1.1920928e-07,1.0,21.0,16.0
58,hue_0.025,energy,7.3078389167785645,2.3841855e-07,1.0,261.0,24.0
59,hue_0.025,energy,9.481236457824707,0.00011955977,1.0,1.0,19.0
60,hue_0.025,energy,18.9147891998291,3.5762723e-06,1.0,160.0,16.0
61,hue_0.025,energy,17.658170700073242,0.018233426,1.0,146.0,29.0
62,hue_0.025,energy,17.0217342376709,7.152555e-07,1.0,206.0,14.0
63,hue_0.025,energy,15.449460983276367,-0.0,1.0,39.0,2.0
64,hue_0.025,energy,13.047016143798828,0.00018249277,1.0,17.0,28.0
65,hue_0.025,energy,8.845714569091797,0.043442536,1.0,227.0,7.0
66,hue_0.025,energy,19.045747756958008,0.0012231733,1.0,143.0,11.0
67,hue_0.025,energy,8.378314018249512,0.00030882357,1.0,58.0,22.0
68,hue_0.025,energy,8.80697250366211,21.593634,0.0,76.0,15.0
69,hue_0.025,energy,13.2631254196167,0.0002217047,1.0,158.0,7.0
70,hue_0.025,energy,13.378941535949707,10.277239,0.0,275.0,20.0
71,hue_0.025,energy,11.616643905639648,0.01036145,1.0,209.0,10.0
72,hue_0.025,energy,17.42763328552246,1.6689287e-06,1.0,133.0,8.0
73,hue_0.025,energy,0.30608129501342773,13.505065,0.0,113.0,8.0
74,hue_0.025,energy,7.133787631988525,0.00089986355,1.0,224.0,8.0
75,hue_0.025,energy,2.9405229091644287,1.1920928e-07,1.0,10.0,12.0
76,hue_0.025,energy,11.676190376281738,2.4199193e-05,1.0,70.0,23.0
77,hue_0.025,energy,1.3947398662567139,4.1723165e-06,1.0,262.0,6.0
78,hue_0.025,energy,11.546109199523926,0.00013791563,1.0,51.0,8.0
79,hue_0.025,energy,13.565443992614746,2.3841855e-07,1.0,94.0,15.0
80,hue_0.025,energy,6.294889450073242,0.7388556,1.0,19.0,6.0
81,hue_0.025,energy,5.7806172370910645,0.01247437,1.0,78.0,11.0
82,hue_0.025,energy,12.534894943237305,-0.0,1.0,195.0,21.0
83,hue_0.025,energy,2.910305976867676,4.6429825,0.0,12.0,17.0
84,hue_0.025,energy,9.60766315460205,3.576278e-07,1.0,165.0,21.0
85,hue_0.025,energy,6.324972629547119,5.4836123e-06,1.0,191.0,27.0
86,hue_0.025,energy,10.761114120483398,2.3841855e-07,1.0,75.0,5.0
87,hue_0.025,energy,17.716506958007812,0.0030182304,1.0,2.0,16.0
88,hue_0.025,energy,12.940990447998047,9.482544,0.0,184.0,5.0
89,hue_0.025,energy,17.913236618041992,0.016220506,1.0,217.0,26.0
90,hue_0.025,energy,17.42911720275879,-0.0,1.0,83.0,0.0
91,hue_0.025,energy,6.448331832885742,1.7380788,0.0,55.0,29.0
92,hue_0.025,energy,18.375070571899414,30.067688,0.0,176.0,29.0
93,hue_0.025,energy,13.599878311157227,3.2186456e-06,1.0,245.0,17.0
94,hue_0.025,energy,3.3821115493774414,0.00015889335,1.0,208.0,11.0
95,hue_0.025,energy,10.676111221313477,-0.0,1.0,281.0,0.0
96,hue_0.025,energy,3.8273515701293945,8.952217e-05,1.0,123.0,29.0
97,hue_0.025,energy,11.675833702087402,5.3644035e-06,1.0,198.0,18.0
98,hue_0.025,energy,16.55779457092285,0.0016465929,1.0,151.0,28.0
99,hue_0.025,energy,11.011398315429688,-0.0,1.0,98.0,14.0
100,hue_0.025,energy,14.683459281921387,0.003291073,1.0,223.0,19.0
101,hue_0.025,energy,14.391758918762207,7.152555e-07,1.0,67.0,25.0
102,hue_0.025,energy,8.537647247314453,7.3909487e-06,1.0,263.0,5.0
103,hue_0.025,energy,5.126661777496338,4.7683704e-07,1.0,119.0,0.0
