,fold,feature_name,feature,loss,acc,idx,class
0,hue_0.025,typicality,879031943168.0,4.128977,0.0,41.0,29.0
1,hue_0.025,typicality,1436353822720.0,0.47047523,1.0,276.0,26.0
2,hue_0.025,typicality,946715688960.0,4.7683704e-07,1.0,234.0,25.0
3,hue_0.025,typicality,973816070144.0,0.17153189,1.0,60.0,27.0
4,hue_0.025,typicality,2222513717248.0,0.0006690171,1.0,122.0,23.0
5,hue_0.025,typicality,729698271232.0,2.384183e-06,1.0,273.0,14.0
6,hue_0.025,typicality,1441693958144.0,5.0067774e-06,1.0,65.0,6.0
7,hue_0.025,typicality,956325167104.0,-0.0,1.0,181.0,1.0
8,hue_0.025,typicality,1554433441792.0,9.392415,0.0,162.0,23.0
9,hue_0.025,typicality,2163032064000.0,3.48965,0.0,54.0,29.0
10,hue_0.025,typicality,889574195200.0,0.0013721108,1.0,33.0,16.0
11,hue_0.025,typicality,680390033408.0,0.00068355084,1.0,0.0,28.0
12,hue_0.025,typicality,708593319936.0,1.1920928e-07,1.0,14.0,9.0
13,hue_0.025,typicality,343271.96875,0.00028248611,1.0,192.0,16.0
14,hue_0.025,typicality,718761033728.0,0.003800908,1.0,188.0,16.0
15,hue_0.025,typicality,989421240320.0,3.3378044e-05,1.0,96.0,17.0
16,hue_0.025,typicality,942122401792.0,1.4740076,0.0,163.0,4.0
17,hue_0.025,typicality,1338470301696.0,9.5367386e-07,1.0,57.0,3.0
18,hue_0.025,typicality,3312014327808.0,1.1920928e-07,1.0,116.0,17.0
19,hue_0.025,typicality,923588886528.0,1.1920928e-07,1.0,157.0,8.0
20,hue_0.025,typicality,942704820224.0,3.576278e-07,1.0,136.0,15.0
21,hue_0.025,typicality,854497558528.0,0.0039834213,1.0,167.0,19.0
22,hue_0.025,typicality,298349133824.0,0.037740353,1.0,40.0,12.0
23,hue_0.025,typicality,1121058816000.0,0.088098,1.0,84.0,22.0
24,hue_0.025,typicality,784573267968.0,-0.0,1.0,90.0,7.0
25,hue_0.025,typicality,977491656704.0,2.1695856e-05,1.0,115.0,8.0
26,hue_0.025,typicality,720742645760.0,1.490105e-05,1.0,194.0,13.0
27,hue_0.025,typicality,500547813376.0,1.8954097e-05,1.0,202.0,28.0
28,hue_0.025,typicality,831052447744.0,4.088795e-05,1.0,112.0,12.0
29,hue_0.025,typicality,766900174848.0,-0.0,1.0,265.0,12.0
30,hue_0.025,typicality,401641930752.0,-0.0,1.0,114.0,9.0
31,hue_0.025,typicality,1266231148544.0,0.029795082,1.0,81.0,16.0
32,hue_0.025,typicality,530034851840.0,2.3841855e-07,1.0,185.0,21.0
33,hue_0.025,typicality,1820810805248.0,0.07098189,1.0,66.0,22.0
34,hue_0.025,typicality,961002995712.0,2.3841855e-07,1.0,166.0,9.0
35,hue_0.025,typicality,801348386816.0,1.7523613e-05,1.0,20.0,6.0
36,hue_0.025,typicality,1984499023872.0,11.502925,0.0,228.0,3.0
37,hue_0.025,typicality,1135948595200.0,1.6198473,0.0,125.0,30.0
38,hue_0.025,typicality,1122743091200.0,1.001353e-05,1.0,177.0,10.0
39,hue_0.025,typicality,1137058512896.0,0.46519428,1.0,92.0,7.0
40,hue_0.025,typicality,313155780608.0,1.6093125e-05,1.0,182.0,9.0
41,hue_0.025,typicality,2178446524416.0,0.18022788,1.0,118.0,30.0
42,hue_0.025,typicality,696354471936.0,0.00030882357,1.0,91.0,26.0
43,hue_0.025,typicality,8344572928.0,1.7642818e-05,1.0,102.0,25.0
44,hue_0.025,typicality,902941769728.0,-0.0,1.0,82.0,12.0
45,hue_0.025,typicality,843518050304.0,7.3083563,0.0,197.0,26.0
46,hue_0.025,typicality,778341318656.0,13.651169,0.0,130.0,26.0
47,hue_0.025,typicality,760056315904.0,5.625314,0.0,53.0,16.0
48,hue_0.025,typicality,808731279360.0,0.03139927,1.0,129.0,19.0
49,hue_0.025,typicality,517032247296.0,0.0065344,1.0,214.0,0.0
50,hue_0.025,typicality,6534380544.0,1.5676169,0.0,23.0,17.0
51,hue_0.025,typicality,809050963968.0,3.576278e-07,1.0,169.0,5.0
52,hue_0.025,typicality,907641356288.0,0.00015829741,1.0,22.0,3.0
53,hue_0.025,typicality,1146163560448.0,2.9801879e-05,1.0,149.0,19.0
54,hue_0.025,typicality,781661110272.0,1.0728779e-05,1.0,230.0,14.0
55,hue_0.025,typicality,711293796352.0,6.675698e-06,1.0,73.0,6.0
56,hue_0.025,typicality,828547334144.0,1.6689287e-06,1.0,62.0,29.0
57,hue_0.025,typicality,946624004096.0,1.1920928e-07,1.0,21.0,16.0
58,hue_0.025,typicality,1573438357504.0,2.3841855e-07,1.0,261.0,24.0
59,hue_0.025,typicality,747032150016.0,0.00011955977,1.0,1.0,19.0
60,hue_0.025,typicality,8685876224.0,3.5762723e-06,1.0,160.0,16.0
61,hue_0.025,typicality,678242746368.0,0.018233426,1.0,146.0,29.0
62,hue_0.025,typicality,764383985664.0,7.152555e-07,1.0,206.0,14.0
63,hue_0.025,typicality,973546323968.0,-0.0,1.0,39.0,2.0
64,hue_0.025,typicality,1893853036544.0,0.00018249277,1.0,17.0,28.0
65,hue_0.025,typicality,882378080256.0,0.043442536,1.0,227.0,7.0
66,hue_0.025,typicality,956797681664.0,0.0012231733,1.0,143.0,11.0
67,hue_0.025,typicality,807717044224.0,0.00030882357,1.0,58.0,22.0
68,hue_0.025,typicality,938887479296.0,21.593634,0.0,76.0,15.0
