,fold,feature_name,feature,loss,acc,idx,class
0,fog_0.025,softmax,0.35217469930648804,6.4177756,0.0,107.0,5.0
1,fog_0.025,softmax,0.581379771232605,0.6914776,1.0,88.0,44.0
2,fog_0.025,softmax,0.5029925107955933,0.5913987,1.0,284.0,37.0
3,fog_0.025,softmax,0.7581513524055481,0.33522162,1.0,36.0,51.0
4,fog_0.025,softmax,0.7312940359115601,3.3489053,0.0,50.0,38.0
5,fog_0.025,softmax,0.26380011439323425,1.0741343,0.0,147.0,48.0
6,fog_0.025,softmax,0.8593228459358215,2.0195441,0.0,394.0,16.0
7,fog_0.025,softmax,0.36431488394737244,3.4856462,0.0,318.0,1.0
8,fog_0.025,softmax,0.5851612091064453,0.4793521,1.0,264.0,32.0
9,fog_0.025,softmax,0.9999966621398926,10.921879,0.0,11.0,47.0
10,fog_0.025,softmax,0.5907586216926575,4.4982166,0.0,201.0,19.0
11,fog_0.025,softmax,0.22808438539505005,15.9072485,0.0,120.0,19.0
12,fog_0.025,softmax,0.37270548939704895,5.7933965,0.0,262.0,62.0
13,fog_0.025,softmax,0.964866042137146,4.026834,0.0,393.0,20.0
14,fog_0.025,softmax,0.763649582862854,0.0010917186,1.0,74.0,51.0
15,fog_0.025,softmax,0.42624157667160034,0.7125817,1.0,247.0,34.0
16,fog_0.025,softmax,0.5049669742584229,0.7298425,1.0,333.0,30.0
17,fog_0.025,softmax,0.27817678451538086,0.62349623,1.0,249.0,3.0
18,fog_0.025,softmax,0.9599484205245972,0.0016302879,1.0,317.0,17.0
19,fog_0.025,softmax,0.3395841121673584,6.0076647,0.0,389.0,51.0
20,fog_0.025,softmax,0.9183191061019897,0.0017082398,1.0,325.0,4.0
21,fog_0.025,softmax,0.6488026976585388,3.7824602,0.0,270.0,21.0
22,fog_0.025,softmax,0.4908210039138794,1.436268,1.0,19.0,28.0
23,fog_0.025,softmax,0.9810390472412109,3.0067039,0.0,218.0,41.0
24,fog_0.025,softmax,0.94314044713974,13.135853,0.0,374.0,20.0
25,fog_0.025,softmax,0.5008354783058167,0.008707648,1.0,43.0,29.0
26,fog_0.025,softmax,0.967703104019165,5.303298,0.0,281.0,9.0
27,fog_0.025,softmax,0.5703582763671875,4.8101153,0.0,371.0,0.0
28,fog_0.025,softmax,0.9240036606788635,4.1537232,0.0,373.0,19.0
29,fog_0.025,softmax,0.2121681571006775,6.342726,0.0,331.0,56.0
30,fog_0.025,softmax,0.9358649849891663,1.5876825,0.0,116.0,23.0
31,fog_0.025,softmax,0.8629406690597534,0.38228416,1.0,391.0,26.0
32,fog_0.025,softmax,0.9067496657371521,35.017124,0.0,395.0,21.0
33,fog_0.025,softmax,0.9965788722038269,7.8976927,0.0,263.0,35.0
34,fog_0.025,softmax,0.41791486740112305,0.00048601735,1.0,179.0,28.0
35,fog_0.025,softmax,0.5513325929641724,1.6053463,0.0,268.0,60.0
36,fog_0.025,softmax,0.7980682849884033,0.35916883,1.0,49.0,34.0
37,fog_0.025,softmax,0.991390585899353,2.6455379,0.0,241.0,10.0
38,fog_0.025,softmax,0.42657899856567383,13.542677,0.0,230.0,29.0
39,fog_0.025,softmax,0.4712599515914917,1.4004948,0.0,261.0,11.0
40,fog_0.025,softmax,0.7412011623382568,0.11652774,1.0,34.0,4.0
41,fog_0.025,softmax,0.8368974328041077,0.059264544,1.0,17.0,13.0
42,fog_0.025,softmax,0.5327566862106323,6.477121,0.0,3.0,10.0
43,fog_0.025,softmax,0.9999998807907104,4.832088,0.0,183.0,16.0
44,fog_0.025,softmax,0.3040665090084076,11.167055,0.0,345.0,21.0
45,fog_0.025,softmax,0.8450546860694885,1.691556,0.0,291.0,25.0
46,fog_0.025,softmax,0.7654882073402405,13.441824,0.0,347.0,44.0
