,fold,feature_name,feature,loss,acc,idx,class
0,hue_0.025,typicality,9432.4013671875,6.270212e-05,1.0,534.0,7.0
1,hue_0.025,typicality,9390.6708984375,2.9563467e-05,1.0,1441.0,7.0
2,hue_0.025,typicality,7566.4306640625,0.18326926,1.0,992.0,0.0
3,hue_0.025,typicality,9535.638671875,5.7338024e-05,1.0,564.0,0.0
4,hue_0.025,typicality,7175.68017578125,9.9654004e-05,1.0,566.0,0.0
5,hue_0.025,typicality,8806.8740234375,1.7762026e-05,1.0,279.0,7.0
6,hue_0.025,typicality,7755.96533203125,9.524369e-05,1.0,1608.0,0.0
7,hue_0.025,typicality,9504.8291015625,4.3510445e-05,1.0,1138.0,7.0
8,hue_0.025,typicality,7064.91845703125,4.7563375e-05,1.0,1514.0,3.0
9,hue_0.025,typicality,7103.3759765625,7.247662e-05,1.0,1350.0,0.0
10,hue_0.025,typicality,9445.435546875,9.655291,0.0,1535.0,1.0
11,hue_0.025,typicality,7105.7890625,1.072883e-06,1.0,1187.0,11.0
12,hue_0.025,typicality,9853.2646484375,1.5139465e-05,1.0,1628.0,8.0
13,hue_0.025,typicality,9593.0888671875,0.00012706903,1.0,396.0,11.0
14,hue_0.025,typicality,7827.189453125,0.021520901,1.0,431.0,6.0
15,hue_0.025,typicality,7467.75537109375,8.487341e-05,1.0,1546.0,0.0
16,hue_0.025,typicality,9362.787109375,1.9230202,0.0,877.0,14.0
17,hue_0.025,typicality,7804.4462890625,2.5629668e-05,1.0,1132.0,7.0
18,hue_0.025,typicality,7736.27734375,0.0001187254,1.0,1521.0,0.0
19,hue_0.025,typicality,7626.9619140625,0.0035301053,1.0,1252.0,9.0
20,hue_0.025,typicality,8305.8857421875,3.397407e-05,1.0,555.0,0.0
21,hue_0.025,typicality,7134.4794921875,4.768258e-05,1.0,101.0,0.0
22,hue_0.025,typicality,9840.9072265625,0.00020287363,1.0,486.0,9.0
23,hue_0.025,typicality,7134.619140625,8.332382e-05,1.0,1528.0,0.0
24,hue_0.025,typicality,7111.55224609375,3.874227e-05,1.0,1255.0,1.0
25,hue_0.025,typicality,7075.298828125,3.70734e-05,1.0,883.0,6.0
26,hue_0.025,typicality,9646.9765625,1.7404405e-05,1.0,1381.0,2.0
27,hue_0.025,typicality,9248.1875,0.001020983,1.0,250.0,0.0
28,hue_0.025,typicality,9186.890625,1.20400655e-05,1.0,1593.0,5.0
29,hue_0.025,typicality,7315.4833984375,7.056941e-05,1.0,137.0,9.0
30,hue_0.025,typicality,8192.01171875,2.5629668e-05,1.0,533.0,5.0
31,hue_0.025,typicality,7121.69482421875,1.8477269e-05,1.0,1133.0,7.0
32,hue_0.025,typicality,7783.80859375,4.9947444e-05,1.0,854.0,5.0
33,hue_0.025,typicality,9614.2080078125,1.072883e-06,1.0,389.0,11.0
