,fold,feature_name,feature,loss,acc,idx,class
0,jpeg_0.025,grad_magnitude,847.1884765625,9.131015e-05,1.0,751.0,0.0
1,jpeg_0.025,grad_magnitude,836.7550048828125,0.00022408835,1.0,1458.0,6.0
2,jpeg_0.025,grad_magnitude,841.56884765625,2.7298554e-05,1.0,388.0,7.0
3,jpeg_0.025,grad_magnitude,843.0174560546875,8.165503e-05,1.0,1077.0,0.0
4,jpeg_0.025,grad_magnitude,853.2848510742188,0.00032920187,1.0,443.0,6.0
5,jpeg_0.025,grad_magnitude,779.3201293945312,0.00020335037,1.0,20.0,3.0
6,jpeg_0.025,grad_magnitude,865.255859375,0.00019310041,1.0,919.0,6.0
7,jpeg_0.025,grad_magnitude,832.2344970703125,8.70224e-06,1.0,1329.0,8.0
8,jpeg_0.025,grad_magnitude,857.3547973632812,6.401334e-05,1.0,471.0,1.0
9,jpeg_0.025,grad_magnitude,857.862060546875,1.20400655e-05,1.0,777.0,5.0
10,jpeg_0.025,grad_magnitude,867.5621337890625,1.7762026e-05,1.0,1190.0,8.0
11,jpeg_0.025,grad_magnitude,759.5804443359375,0.0011841197,1.0,1606.0,8.0
12,jpeg_0.025,grad_magnitude,859.4722290039062,1.7642818e-05,1.0,599.0,7.0
13,jpeg_0.025,grad_magnitude,829.1782836914062,7.819824e-05,1.0,1402.0,0.0
14,jpeg_0.025,grad_magnitude,856.98583984375,0.00060528074,1.0,141.0,3.0
15,jpeg_0.025,grad_magnitude,863.388916015625,7.3909487e-06,1.0,1542.0,11.0
16,jpeg_0.025,grad_magnitude,847.604736328125,0.0062450264,1.0,429.0,7.0
17,jpeg_0.025,grad_magnitude,853.392333984375,1.0132739e-05,1.0,1502.0,2.0
18,jpeg_0.025,grad_magnitude,865.6882934570312,1.1920922e-06,1.0,906.0,11.0
19,jpeg_0.025,grad_magnitude,860.5377807617188,4.0768748e-05,1.0,1210.0,9.0
20,jpeg_0.025,grad_magnitude,834.0216064453125,6.9735004e-05,1.0,1394.0,1.0
21,jpeg_0.025,grad_magnitude,849.1099243164062,1.0728779e-05,1.0,1243.0,2.0
22,jpeg_0.025,grad_magnitude,849.644775390625,8.463824e-06,1.0,1379.0,8.0
23,jpeg_0.025,grad_magnitude,858.1373291015625,0.5347574,1.0,68.0,0.0
24,jpeg_0.025,grad_magnitude,844.47314453125,3.70734e-05,1.0,469.0,0.0
25,jpeg_0.025,grad_magnitude,834.705810546875,4.5656117e-05,1.0,1194.0,1.0
26,jpeg_0.025,grad_magnitude,841.7142333984375,6.758938e-05,1.0,1216.0,6.0
27,jpeg_0.025,grad_magnitude,829.2642822265625,1.5735503e-05,1.0,43.0,3.0
28,jpeg_0.025,grad_magnitude,852.6548461914062,3.170917e-05,1.0,1094.0,2.0
29,jpeg_0.025,grad_magnitude,859.9368286132812,1.4305105e-06,1.0,645.0,11.0
30,jpeg_0.025,grad_magnitude,854.9566650390625,0.0064986325,1.0,985.0,8.0
31,jpeg_0.025,grad_magnitude,867.6048583984375,0.00023970116,1.0,1143.0,11.0
32,jpeg_0.025,grad_magnitude,850.596435546875,1.2993728e-05,1.0,1010.0,2.0
33,jpeg_0.025,grad_magnitude,861.0848999023438,0.0065532303,1.0,937.0,14.0
34,jpeg_0.025,grad_magnitude,866.88037109375,9.560128e-05,1.0,1569.0,7.0
35,jpeg_0.025,grad_magnitude,857.4454345703125,3.0755524e-05,1.0,1074.0,2.0
36,jpeg_0.025,grad_magnitude,855.5474243164062,3.3854863e-05,1.0,301.0,6.0
37,jpeg_0.025,grad_magnitude,824.228271484375,0.0005535739,1.0,965.0,0.0
38,jpeg_0.025,grad_magnitude,853.4037475585938,7.0211805e-05,1.0,115.0,0.0
39,jpeg_0.025,grad_magnitude,843.580078125,1.5616295e-05,1.0,661.0,2.0
40,jpeg_0.025,grad_magnitude,857.2701416015625,3.933899e-06,1.0,1420.0,11.0
41,jpeg_0.025,grad_magnitude,850.2649536132812,4.8636208e-05,1.0,1247.0,3.0
42,jpeg_0.025,grad_magnitude,843.0341186523438,7.140382e-05,1.0,955.0,14.0
43,jpeg_0.025,grad_magnitude,854.364990234375,0.00016246906,1.0,472.0,3.0
44,jpeg_0.025,grad_magnitude,840.72998046875,7.9390236e-05,1.0,1358.0,0.0
45,jpeg_0.025,grad_magnitude,845.91943359375,4.83978e-05,1.0,950.0,6.0
46,jpeg_0.025,grad_magnitude,864.0289306640625,0.00017271934,1.0,31.0,1.0
47,jpeg_0.025,grad_magnitude,867.667724609375,5.6980418e-05,1.0,1407.0,1.0
48,jpeg_0.025,grad_magnitude,856.8109130859375,3.0993935e-05,1.0,718.0,5.0
49,jpeg_0.025,grad_magnitude,810.1295166015625,3.218599e-05,1.0,686.0,9.0
50,jpeg_0.025,grad_magnitude,856.8262939453125,0.025337623,1.0,498.0,14.0
51,jpeg_0.025,grad_magnitude,851.709716796875,1.072883e-06,1.0,262.0,11.0
52,jpeg_0.025,grad_magnitude,857.9452514648438,3.4331686e-05,1.0,1584.0,0.0
53,jpeg_0.025,grad_magnitude,871.3150024414062,0.022830844,1.0,664.0,2.0
54,jpeg_0.025,grad_magnitude,861.4141235351562,4.5299425e-06,1.0,636.0,8.0
55,jpeg_0.025,grad_magnitude,849.87841796875,0.00010096517,1.0,1616.0,1.0
56,jpeg_0.025,grad_magnitude,860.2832641601562,1.8358061e-05,1.0,1556.0,7.0
57,jpeg_0.025,grad_magnitude,837.9854736328125,0.12031554,1.0,1339.0,1.0
58,jpeg_0.025,grad_magnitude,854.4827270507812,1.800044e-05,1.0,423.0,7.0
59,jpeg_0.025,grad_magnitude,844.8328857421875,6.1152496e-05,1.0,554.0,0.0
60,jpeg_0.025,grad_magnitude,861.909912109375,0.00028725312,1.0,1383.0,0.0
61,jpeg_0.025,grad_magnitude,843.4647216796875,2.2887922e-05,1.0,1577.0,7.0
62,jpeg_0.025,grad_magnitude,846.8106689453125,2.3483954e-05,1.0,136.0,8.0
63,jpeg_0.025,grad_magnitude,853.1845703125,1.5258673e-05,1.0,1257.0,7.0
64,jpeg_0.025,grad_magnitude,866.4285888671875,3.421248e-05,1.0,1080.0,6.0
65,jpeg_0.025,grad_magnitude,852.0755615234375,0.00010799778,1.0,1453.0,0.0
66,jpeg_0.025,grad_magnitude,856.3984985351562,8.272783e-05,1.0,646.0,0.0
67,jpeg_0.025,grad_magnitude,843.482421875,1.0490363e-05,1.0,97.0,7.0
68,jpeg_0.025,grad_magnitude,831.9970703125,1.8954097e-05,1.0,1248.0,0.0
69,jpeg_0.025,grad_magnitude,837.158935546875,0.00043764073,1.0,397.0,7.0
70,jpeg_0.025,grad_magnitude,859.0640869140625,6.5682165e-05,1.0,467.0,1.0
71,jpeg_0.025,grad_magnitude,845.01025390625,0.0016083888,1.0,617.0,0.0
72,jpeg_0.025,grad_magnitude,862.3928833007812,0.00034362133,1.0,425.0,7.0
73,jpeg_0.025,grad_magnitude,849.7534790039062,0.14442487,1.0,987.0,9.0
