,fold,feature_name,feature,loss,acc,idx,class
0,jpeg_0.025,knn,1.4898905754089355,0.00036209225,1.0,1408.0,1.0
1,jpeg_0.025,knn,3.231452703475952,6.460935e-05,1.0,930.0,3.0
2,jpeg_0.025,knn,2.9873266220092773,3.6596583e-05,1.0,1409.0,1.0
3,jpeg_0.025,knn,1.7630754709243774,3.0993935e-05,1.0,22.0,9.0
4,jpeg_0.025,knn,0.2902427613735199,0.0006280357,1.0,405.0,9.0
5,jpeg_0.025,knn,0.834037184715271,0.027819121,1.0,24.0,4.0
6,jpeg_0.025,knn,3.2157864570617676,8.070143e-05,1.0,481.0,7.0
7,jpeg_0.025,knn,0.3933127522468567,1.7762026e-05,1.0,1190.0,8.0
8,jpeg_0.025,knn,2.9381606578826904,9.417489e-06,1.0,1144.0,2.0
9,jpeg_0.025,knn,2.9213955402374268,0.0009425012,1.0,250.0,0.0
10,jpeg_0.025,knn,2.4080610275268555,1.0967195e-05,1.0,1243.0,2.0
11,jpeg_0.025,knn,3.1874759197235107,0.086169526,1.0,589.0,9.0
12,jpeg_0.025,knn,4.389201641082764,5.7576428e-05,1.0,552.0,0.0
13,jpeg_0.025,knn,3.4363420009613037,0.00011133528,1.0,804.0,9.0
14,jpeg_0.025,knn,5.912388324737549,6.0675688e-05,1.0,809.0,0.0
15,jpeg_0.025,knn,0.6584962010383606,3.5166122e-05,1.0,342.0,0.0
16,jpeg_0.025,knn,1.8652215003967285,0.00045622909,1.0,585.0,1.0
17,jpeg_0.025,knn,5.150376319885254,9.155252,0.0,535.0,4.0
18,jpeg_0.025,knn,1.3452425003051758,0.16272789,1.0,797.0,6.0
19,jpeg_0.025,knn,5.114756107330322,0.0001544833,1.0,1630.0,0.0
20,jpeg_0.025,knn,2.5748841762542725,3.635817e-05,1.0,1411.0,2.0
21,jpeg_0.025,knn,1.4122899770736694,1.6269083,0.0,1558.0,3.0
22,jpeg_0.025,knn,1.9111641645431519,3.445089e-05,1.0,453.0,9.0
23,jpeg_0.025,knn,3.4635119438171387,2.4199193e-05,1.0,1464.0,2.0
24,jpeg_0.025,knn,1.5264033079147339,3.874227e-05,1.0,544.0,6.0
25,jpeg_0.025,knn,1.9107341766357422,2.6583319e-05,1.0,1258.0,0.0
26,jpeg_0.025,knn,4.731278896331787,5.5430784e-05,1.0,1466.0,1.0
27,jpeg_0.025,knn,3.4796395301818848,0.00023791344,1.0,781.0,0.0
28,jpeg_0.025,knn,1.0814884901046753,0.0005658456,1.0,369.0,5.0
29,jpeg_0.025,knn,7.881401062011719,1.0728779e-05,1.0,356.0,8.0
30,jpeg_0.025,knn,7.0921502113342285,4.4225668e-05,1.0,1626.0,0.0
31,jpeg_0.025,knn,6.553603649139404,0.0015803003,1.0,466.0,3.0
32,jpeg_0.025,knn,2.030093193054199,0.00017903633,1.0,1444.0,0.0
33,jpeg_0.025,knn,6.059120178222656,0.00013481661,1.0,1202.0,1.0
34,jpeg_0.025,knn,3.443009376525879,6.12717e-05,1.0,573.0,6.0
35,jpeg_0.025,knn,2.3574628829956055,1.072883e-06,1.0,83.0,11.0
36,jpeg_0.025,knn,2.4009628295898438,9.536698e-06,1.0,1024.0,7.0
37,jpeg_0.025,knn,1.3269362449645996,2.4556812e-05,1.0,156.0,6.0
38,jpeg_0.025,knn,2.6092212200164795,4.8278598e-05,1.0,785.0,7.0
39,jpeg_0.025,knn,2.098250150680542,3.8623064e-05,1.0,1288.0,0.0
40,jpeg_0.025,knn,1.3475028276443481,0.0003159739,1.0,79.0,7.0
41,jpeg_0.025,knn,0.20688983798027039,0.0001417298,1.0,938.0,3.0
42,jpeg_0.025,knn,3.3312368392944336,3.4331686e-05,1.0,33.0,0.0
43,jpeg_0.025,knn,1.5332913398742676,0.00017844039,1.0,465.0,3.0
44,jpeg_0.025,knn,4.973907470703125,1.5735503e-05,1.0,473.0,7.0
45,jpeg_0.025,knn,6.885149955749512,8.117823e-05,1.0,1547.0,2.0
46,jpeg_0.025,knn,5.584798336029053,7.5456635e-05,1.0,1604.0,7.0
47,jpeg_0.025,knn,4.460604190826416,8.5350206e-05,1.0,963.0,14.0
48,jpeg_0.025,knn,2.2940547466278076,4.672895e-05,1.0,1167.0,8.0
49,jpeg_0.025,knn,0.8005749583244324,1.0490363e-05,1.0,97.0,7.0
50,jpeg_0.025,knn,7.5041351318359375,9.417091e-05,1.0,1221.0,5.0
51,jpeg_0.025,knn,3.6757941246032715,6.377493e-05,1.0,1263.0,0.0
52,jpeg_0.025,knn,2.9673187732696533,0.05076568,1.0,1031.0,14.0
53,jpeg_0.025,knn,1.7906489372253418,2.1576649e-05,1.0,182.0,6.0
54,jpeg_0.025,knn,2.7313108444213867,3.421248e-05,1.0,402.0,6.0
55,jpeg_0.025,knn,0.8744202256202698,5.769563e-05,1.0,1316.0,3.0
56,jpeg_0.025,knn,4.031526565551758,0.00018428058,1.0,638.0,0.0
57,jpeg_0.025,knn,8.070433616638184,4.2079995e-05,1.0,1214.0,9.0
58,jpeg_0.025,knn,9.524616241455078,0.12607993,1.0,1339.0,1.0
59,jpeg_0.025,knn,0.8457478880882263,2.741776e-05,1.0,1132.0,7.0
60,jpeg_0.025,knn,0.8115747570991516,3.778863e-05,1.0,241.0,0.0
61,jpeg_0.025,knn,0.7169449329376221,0.0023435291,1.0,87.0,7.0
62,jpeg_0.025,knn,0.2504318654537201,0.00030941944,1.0,1347.0,14.0
63,jpeg_0.025,knn,2.920074224472046,1.2636105e-05,1.0,739.0,7.0
64,jpeg_0.025,knn,4.446278095245361,1.5973917e-05,1.0,1115.0,6.0
65,jpeg_0.025,knn,5.408397197723389,0.00024768623,1.0,1325.0,14.0
66,jpeg_0.025,knn,2.9477102756500244,7.331103e-05,1.0,1375.0,0.0
67,jpeg_0.025,knn,1.249967098236084,2.1099822e-05,1.0,362.0,1.0
68,jpeg_0.025,knn,0.3913079500198364,0.00010597144,1.0,0.0,0.0
69,jpeg_0.025,knn,0.5916846394538879,0.00013481661,1.0,114.0,9.0
70,jpeg_0.025,knn,1.7665470838546753,0.00010775939,1.0,860.0,2.0
71,jpeg_0.025,knn,8.990776062011719,3.421248e-05,1.0,1515.0,0.0
72,jpeg_0.025,knn,0.436082661151886,2.324554e-05,1.0,291.0,8.0
73,jpeg_0.025,knn,3.404839277267456,2.1099822e-05,1.0,175.0,8.0
74,jpeg_0.025,knn,3.706651210784912,9.202534e-05,1.0,1245.0,6.0
75,jpeg_0.025,knn,2.931032657623291,1.1682442e-05,1.0,386.0,7.0
76,jpeg_0.025,knn,7.6983819007873535,1.9192512e-05,1.0,1494.0,6.0
77,jpeg_0.025,knn,5.079915523529053,0.000105494655,1.0,753.0,1.0
78,jpeg_0.025,knn,4.185707092285156,2.324554e-05,1.0,485.0,7.0
79,jpeg_0.025,knn,0.08506845682859421,1.2993728e-05,1.0,363.0,7.0
80,jpeg_0.025,knn,3.4390451908111572,5.7220295e-06,1.0,1276.0,5.0
81,jpeg_0.025,knn,0.09921609610319138,1.7881378e-06,1.0,1652.0,11.0
82,jpeg_0.025,knn,11.52145004272461,0.00010048838,1.0,314.0,5.0
83,jpeg_0.025,knn,2.421783924102783,0.000169978,1.0,338.0,0.0
84,jpeg_0.025,knn,4.21748161315918,2.0265374e-05,1.0,568.0,1.0
85,jpeg_0.025,knn,10.211246490478516,0.017871307,1.0,1096.0,14.0
86,jpeg_0.025,knn,1.2404043674468994,1.6927575e-05,1.0,559.0,2.0
87,jpeg_0.025,knn,2.187549591064453,7.191323,0.0,299.0,1.0
88,jpeg_0.025,knn,5.739450931549072,1.6927575e-05,1.0,1053.0,1.0
