,fold,feature_name,feature,loss,acc,idx,class
0,saltpepper_0.025,knn,19.45258140563965,8.144079,0.0,1629.0,0.0
1,saltpepper_0.025,knn,16.974809646606445,7.905947,0.0,58.0,0.0
2,saltpepper_0.025,knn,17.949581146240234,1.5841882,0.0,951.0,6.0
3,saltpepper_0.025,knn,18.069580078125,8.513868,0.0,1510.0,0.0
4,saltpepper_0.025,knn,21.921504974365234,7.0178695,0.0,775.0,1.0
5,saltpepper_0.025,knn,20.7082576751709,0.073463134,1.0,958.0,7.0
6,saltpepper_0.025,knn,21.591646194458008,7.0558424,0.0,611.0,0.0
7,saltpepper_0.025,knn,17.978918075561523,3.2392147,0.0,1439.0,6.0
8,saltpepper_0.025,knn,16.237152099609375,0.25668254,1.0,387.0,6.0
9,saltpepper_0.025,knn,19.539392471313477,0.15671563,1.0,832.0,7.0
10,saltpepper_0.025,knn,18.684812545776367,1.3222167,0.0,1514.0,3.0
11,saltpepper_0.025,knn,21.752477645874023,8.274463,0.0,272.0,6.0
12,saltpepper_0.025,knn,19.17015838623047,2.5180087,0.0,704.0,3.0
13,saltpepper_0.025,knn,20.208240509033203,10.29358,0.0,1653.0,4.0
14,saltpepper_0.025,knn,13.671976089477539,6.923515,0.0,547.0,0.0
15,saltpepper_0.025,knn,18.03537940979004,7.4237347,0.0,843.0,4.0
16,saltpepper_0.025,knn,21.62473487854004,5.9169855,0.0,1196.0,9.0
17,saltpepper_0.025,knn,20.49260139465332,9.323154,0.0,1327.0,14.0
18,saltpepper_0.025,knn,9.809258460998535,7.477134,0.0,1226.0,6.0
19,saltpepper_0.025,knn,13.790497779846191,7.289973,0.0,1023.0,0.0
20,saltpepper_0.025,knn,20.811594009399414,7.864007,0.0,174.0,0.0
21,saltpepper_0.025,knn,17.73250389099121,0.00017498393,1.0,1268.0,5.0
22,saltpepper_0.025,knn,17.488584518432617,5.9601645,0.0,1251.0,2.0
23,saltpepper_0.025,knn,17.876710891723633,8.355101,0.0,647.0,3.0
24,saltpepper_0.025,knn,22.862394332885742,1.2494822,1.0,1080.0,6.0
25,saltpepper_0.025,knn,12.92534351348877,0.9601241,0.0,1300.0,7.0
26,saltpepper_0.025,knn,21.84954071044922,6.3422775,0.0,987.0,9.0
27,saltpepper_0.025,knn,16.576141357421875,5.299619,0.0,1609.0,9.0
28,saltpepper_0.025,knn,19.53215789794922,7.860026,0.0,622.0,0.0
29,saltpepper_0.025,knn,19.925113677978516,10.345599,0.0,86.0,2.0
30,saltpepper_0.025,knn,9.439813613891602,9.4066,0.0,1355.0,1.0
31,saltpepper_0.025,knn,20.08390998840332,0.00044157292,1.0,232.0,7.0
32,saltpepper_0.025,knn,19.592403411865234,3.7622335,0.0,686.0,9.0
33,saltpepper_0.025,knn,17.8593807220459,7.110512,0.0,960.0,0.0
34,saltpepper_0.025,knn,17.445770263671875,7.7547927,0.0,1611.0,0.0
35,saltpepper_0.025,knn,9.998321533203125,8.936388,0.0,1410.0,11.0
36,saltpepper_0.025,knn,8.288602828979492,2.9444262e-05,1.0,1505.0,2.0
37,saltpepper_0.025,knn,14.64725399017334,4.510951,0.0,1456.0,5.0
38,saltpepper_0.025,knn,13.971841812133789,3.446319,0.0,1162.0,8.0
39,saltpepper_0.025,knn,14.504353523254395,0.052772738,1.0,316.0,7.0
40,saltpepper_0.025,knn,18.801559448242188,0.002846834,1.0,812.0,7.0
41,saltpepper_0.025,knn,16.13599967956543,4.455593,0.0,384.0,7.0
42,saltpepper_0.025,knn,22.127826690673828,9.688539,0.0,901.0,1.0
43,saltpepper_0.025,knn,16.901607513427734,0.06554155,1.0,836.0,7.0
44,saltpepper_0.025,knn,21.741470336914062,7.41815,0.0,444.0,5.0
45,saltpepper_0.025,knn,17.80445098876953,0.031717718,1.0,354.0,7.0
46,saltpepper_0.025,knn,16.18511962890625,0.04822536,1.0,1388.0,2.0
47,saltpepper_0.025,knn,19.363510131835938,9.462467,0.0,748.0,14.0
