,fold,feature_name,feature,loss,acc,idx,class
0,brightness_0.025,softmax,0.9999754428863525,3.2782016e-05,1.0,1222.0,42.0
1,brightness_0.025,softmax,0.9680860638618469,7.152532e-06,1.0,911.0,1.0
2,brightness_0.025,softmax,0.9999991655349731,-0.0,1.0,889.0,3.0
3,brightness_0.025,softmax,0.9985142350196838,5.4836123e-06,1.0,1094.0,46.0
4,brightness_0.025,softmax,0.9999990463256836,4.3868058e-05,1.0,101.0,33.0
5,brightness_0.025,softmax,0.9999632835388184,0.09248355,1.0,605.0,30.0
6,brightness_0.025,softmax,1.0,1.1006896,0.0,49.0,12.0
7,brightness_0.025,softmax,0.9999772310256958,20.300425,0.0,926.0,5.0
8,brightness_0.025,softmax,0.9999997615814209,13.890426,0.0,50.0,41.0
9,brightness_0.025,softmax,1.0,0.025703207,1.0,998.0,5.0
10,brightness_0.025,softmax,0.9999001026153564,1.3587544,0.0,98.0,3.0
11,brightness_0.025,softmax,0.9999988079071045,1.8238856e-05,1.0,522.0,53.0
12,brightness_0.025,softmax,0.9999957084655762,1.072883e-06,1.0,614.0,51.0
13,brightness_0.025,softmax,0.9999821186065674,5.960463e-07,1.0,754.0,53.0
14,brightness_0.025,softmax,1.0,2.467602e-05,1.0,1211.0,45.0
15,brightness_0.025,softmax,0.9922078251838684,9.5367386e-07,1.0,264.0,59.0
16,brightness_0.025,softmax,0.9999990463256836,17.9055,0.0,658.0,55.0
17,brightness_0.025,softmax,0.9997934699058533,0.07404149,1.0,904.0,1.0
18,brightness_0.025,softmax,0.9976288676261902,17.734873,0.0,925.0,54.0
19,brightness_0.025,softmax,0.9999995231628418,2.3841855e-07,1.0,592.0,40.0
20,brightness_0.025,softmax,1.0,0.0007306052,1.0,607.0,16.0
21,brightness_0.025,softmax,1.0,-0.0,1.0,818.0,50.0
22,brightness_0.025,softmax,0.9999730587005615,1.3232144e-05,1.0,468.0,53.0
23,brightness_0.025,softmax,0.9996033310890198,-0.0,1.0,1208.0,53.0
24,brightness_0.025,softmax,0.9999467134475708,-0.0,1.0,257.0,12.0
25,brightness_0.025,softmax,0.9998125433921814,2.7894584e-05,1.0,577.0,42.0
26,brightness_0.025,softmax,0.9999982118606567,-0.0,1.0,424.0,55.0
27,brightness_0.025,softmax,0.9999997615814209,0.00012027494,1.0,273.0,24.0
28,brightness_0.025,softmax,0.9999997615814209,-0.0,1.0,206.0,0.0
29,brightness_0.025,softmax,0.999997615814209,0.0009900198,1.0,59.0,6.0
30,brightness_0.025,softmax,0.7131783962249756,1.1324818e-05,1.0,1190.0,40.0
31,brightness_0.025,softmax,0.9999966621398926,9.22466,0.0,865.0,6.0
32,brightness_0.025,softmax,0.9957005381584167,0.0013015141,1.0,154.0,20.0
33,brightness_0.025,softmax,0.9999773502349854,4.7801783e-05,1.0,1202.0,2.0
34,brightness_0.025,softmax,0.9999990463256836,-0.0,1.0,601.0,37.0
35,brightness_0.025,softmax,0.9999991655349731,0.0001400611,1.0,1103.0,52.0
36,brightness_0.025,softmax,0.9999992847442627,13.485461,0.0,312.0,26.0
37,brightness_0.025,softmax,1.0,0.00054606784,1.0,110.0,57.0
38,brightness_0.025,softmax,0.999998927116394,0.0011492322,1.0,1020.0,35.0
39,brightness_0.025,softmax,0.6341201663017273,-0.0,1.0,976.0,12.0
40,brightness_0.025,softmax,0.5434644222259521,5.6861216e-05,1.0,32.0,42.0
41,brightness_0.025,softmax,0.9255576133728027,9.5367386e-07,1.0,349.0,3.0
42,brightness_0.025,softmax,0.9988020658493042,4.7683704e-07,1.0,137.0,54.0
43,brightness_0.025,softmax,0.9996912479400635,-0.0,1.0,991.0,24.0
44,brightness_0.025,softmax,0.9999998807907104,2.2839181,0.0,848.0,37.0
45,brightness_0.025,softmax,0.99866783618927,4.7683704e-07,1.0,1046.0,58.0
46,brightness_0.025,softmax,0.9999872446060181,3.576278e-07,1.0,704.0,8.0
47,brightness_0.025,softmax,0.9999997615814209,2.6583319e-05,1.0,430.0,54.0
48,brightness_0.025,softmax,0.9569213390350342,2.9294014,0.0,1047.0,52.0
