,fold,feature_name,feature,loss,acc,idx,class
0,fog_0.025,softmax,0.9999797344207764,7.060141,0.0,543.0,28.0
1,fog_0.025,softmax,0.5518842935562134,2.8729026e-05,1.0,518.0,32.0
2,fog_0.025,softmax,0.9999982118606567,3.6715788e-05,1.0,374.0,22.0
3,fog_0.025,softmax,0.9962584972381592,2.264974e-06,1.0,18.0,34.0
4,fog_0.025,softmax,1.0,10.176103,0.0,753.0,37.0
5,fog_0.025,softmax,0.9999961853027344,1.8596476e-05,1.0,860.0,27.0
6,fog_0.025,softmax,1.0,0.0032656456,1.0,384.0,4.0
7,fog_0.025,softmax,0.9999974966049194,1.9073468e-06,1.0,110.0,45.0
8,fog_0.025,softmax,0.958686351776123,-0.0,1.0,0.0,12.0
9,fog_0.025,softmax,1.0,0.004465489,1.0,749.0,49.0
10,fog_0.025,softmax,0.9996086955070496,1.6450747e-05,1.0,819.0,0.0
11,fog_0.025,softmax,0.9604382514953613,1.072883e-06,1.0,143.0,27.0
12,fog_0.025,softmax,1.0,1.3113013e-06,1.0,800.0,7.0
13,fog_0.025,softmax,0.9594963788986206,5.0356674,0.0,290.0,12.0
14,fog_0.025,softmax,1.0,0.0137598775,1.0,933.0,50.0
15,fog_0.025,softmax,0.999667763710022,16.660633,0.0,150.0,55.0
16,fog_0.025,softmax,0.5039187669754028,0.022896674,1.0,1091.0,5.0
17,fog_0.025,softmax,0.9998693466186523,0.92281294,1.0,593.0,13.0
18,fog_0.025,softmax,0.9999972581863403,17.611023,0.0,77.0,41.0
19,fog_0.025,softmax,0.31221628189086914,17.909285,0.0,1066.0,45.0
20,fog_0.025,softmax,0.9999934434890747,1.5616295e-05,1.0,1064.0,50.0
21,fog_0.025,softmax,0.9909611344337463,9.488609e-05,1.0,418.0,48.0
22,fog_0.025,softmax,0.9999998807907104,2.920585e-05,1.0,545.0,8.0
23,fog_0.025,softmax,0.9999873638153076,19.635723,0.0,430.0,38.0
24,fog_0.025,softmax,0.9999126195907593,0.0009011737,1.0,1201.0,16.0
25,fog_0.025,softmax,0.9999996423721313,1.154957,0.0,396.0,5.0
26,fog_0.025,softmax,0.9999997615814209,6.5564896e-06,1.0,615.0,4.0
27,fog_0.025,softmax,0.5800908207893372,19.344683,0.0,305.0,37.0
28,fog_0.025,softmax,0.9999997615814209,7.152555e-07,1.0,73.0,59.0
29,fog_0.025,softmax,0.6521613597869873,1.9550132e-05,1.0,1230.0,48.0
30,fog_0.025,softmax,0.7749416828155518,-0.0,1.0,141.0,15.0
31,fog_0.025,softmax,0.9989104270935059,2.1576649e-05,1.0,964.0,7.0
32,fog_0.025,softmax,0.4958507716655731,3.1229875,0.0,1227.0,13.0
33,fog_0.025,softmax,0.999984860420227,3.6954812e-06,1.0,1080.0,31.0
34,fog_0.025,softmax,1.0,3.5628948,0.0,883.0,45.0
35,fog_0.025,softmax,0.9593428373336792,0.002353638,1.0,766.0,30.0
36,fog_0.025,softmax,0.9231327772140503,7.152555e-07,1.0,925.0,51.0
37,fog_0.025,softmax,0.9999998807907104,0.00010620984,1.0,226.0,53.0
38,fog_0.025,softmax,0.5673232078552246,1.001353e-05,1.0,99.0,30.0
39,fog_0.025,softmax,1.0,1.1920922e-06,1.0,561.0,12.0
40,fog_0.025,softmax,0.9999657869338989,6.7949063e-06,1.0,506.0,14.0
41,fog_0.025,softmax,0.9960907101631165,7.150384,0.0,853.0,8.0
42,fog_0.025,softmax,0.4048151671886444,20.29863,0.0,288.0,22.0
43,fog_0.025,softmax,1.0,16.61115,0.0,1068.0,0.0
44,fog_0.025,softmax,0.9999791383743286,7.7875905,0.0,192.0,42.0
45,fog_0.025,softmax,1.0,1.072883e-06,1.0,400.0,8.0
46,fog_0.025,softmax,0.9963017702102661,15.505351,0.0,363.0,0.0
47,fog_0.025,softmax,0.8875033259391785,5.1671486,0.0,216.0,39.0
48,fog_0.025,softmax,0.3249833881855011,4.0027924,0.0,318.0,28.0
49,fog_0.025,softmax,0.9978965520858765,7.2022166,0.0,724.0,1.0
50,fog_0.025,softmax,0.507967472076416,1.1920928e-07,1.0,367.0,8.0
51,fog_0.025,softmax,0.9999873638153076,9.989239e-05,1.0,548.0,8.0
52,fog_0.025,softmax,0.9999994039535522,7.068861e-05,1.0,525.0,39.0
53,fog_0.025,softmax,0.9762157201766968,0.00049304724,1.0,1141.0,48.0
54,fog_0.025,softmax,0.5187373757362366,12.883308,0.0,1002.0,56.0
55,fog_0.025,softmax,0.9999961853027344,5.3644035e-06,1.0,769.0,33.0
56,fog_0.025,softmax,0.9999901056289673,18.566048,0.0,207.0,13.0
57,fog_0.025,softmax,0.7894248962402344,1.5411165,0.0,742.0,15.0
58,fog_0.025,softmax,0.9225873351097107,4.352968,0.0,558.0,59.0
59,fog_0.025,softmax,0.9561164379119873,4.9688973,0.0,522.0,42.0
60,fog_0.025,softmax,0.8174169063568115,0.031746935,1.0,21.0,22.0
61,fog_0.025,softmax,0.9995593428611755,20.183498,0.0,219.0,25.0
62,fog_0.025,softmax,0.9999949932098389,1.3404825,0.0,177.0,7.0
63,fog_0.025,softmax,0.9997426867485046,0.060271252,1.0,1059.0,12.0
64,fog_0.025,softmax,1.0,24.55278,0.0,620.0,30.0
65,fog_0.025,softmax,1.0,-0.0,1.0,43.0,30.0
66,fog_0.025,softmax,0.5117720365524292,13.23431,0.0,828.0,24.0
67,fog_0.025,softmax,1.0,0.0036694354,1.0,840.0,15.0
68,fog_0.025,softmax,0.9987356066703796,18.808083,0.0,174.0,53.0
69,fog_0.025,softmax,0.9999990463256836,18.437426,0.0,1204.0,45.0
70,fog_0.025,softmax,0.9997736811637878,0.00010013079,1.0,129.0,30.0
71,fog_0.025,softmax,0.9119918942451477,7.0172257,0.0,912.0,2.0
72,fog_0.025,softmax,0.9991372227668762,2.3841855e-07,1.0,479.0,31.0
73,fog_0.025,softmax,0.9117551445960999,16.00152,0.0,609.0,13.0
74,fog_0.025,softmax,0.9999997615814209,18.434141,0.0,1132.0,34.0
75,fog_0.025,softmax,0.9999854564666748,21.380484,0.0,786.0,48.0
76,fog_0.025,softmax,1.0,10.195047,0.0,784.0,15.0
77,fog_0.025,softmax,0.5579718351364136,0.10038203,1.0,714.0,2.0
78,fog_0.025,softmax,1.0,1.8243093,0.0,315.0,1.0
79,fog_0.025,softmax,0.9997488856315613,-0.0,1.0,407.0,10.0
80,fog_0.025,softmax,0.450644314289093,0.43208548,1.0,19.0,4.0
81,fog_0.025,softmax,0.9999955892562866,2.384183e-06,1.0,211.0,11.0
82,fog_0.025,softmax,0.9999991655349731,0.00035780226,1.0,135.0,21.0
83,fog_0.025,softmax,0.8058885931968689,0.00025733974,1.0,224.0,17.0
84,fog_0.025,softmax,0.9999983310699463,0.008924596,1.0,228.0,40.0
